Fecha,Fabricante,SKU,Linea,Subcategoria,Tipo,Rough_In,Bowl_Height,Asiento,Capacidad_(Gpl),Producto,Price_Type,Multiplicador,Precio_Lista,Precio_Consumidor,Moneda,Market_Place,Stock,URL,Image_url
2022-11-22,American Standard,250CA104,Reliant,Alto,Combo,12.0,Standard,Elongated,1.28,Reliant 1.28 EL Combo,List Price,0.5,214.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Two-Piece-Toilets/Reliant速-Two-Piece-1.28-gpf-4.8-Lpf-Elongated-Toilet-Less-Seat/WHITE-250CA104020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Toilets/Two-Piece Toilets/250CA104/9mokbucpc7v8a6bozu1c486v9xmfdrfx.jpg
2022-11-22,American Standard,250AA104,Reliant,Alto,Combo,12.0,ADA,Elongated,1.28,Reliant ADA EL 1.28  Combo,List Price,0.5,296.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Two-Piece-Toilets/Reliant速-Two-Piece-1.28-gpf-4.8-Lpf-Chair-Height-Elongated-Toilet-Less-Seat/WHITE-250AA104020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Toilets/Two-Piece Toilets/250AA104/ttainj49u6h4z83t9x1rfujqlwczde2n.jpg
2022-11-22,American Standard,2467016,Cadet,Commercial,Combo,12.0,Chair heigth,Elongated,1.6,Cadet Two-Piece  Combo ,List Price,0.5,659.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Toilets-Commercial/Cadet-Two-Piece-Pressure-Assist-16-gpf-60-Lpf-Chair-Height-Elongated-EverClean-Toilet/WHITE-2467016020,https://do5nkkzntcenb.cloudfront.net/ASUS/Commercial/Commercial Toilets/Toilets Commercial/2467016/iohq4ez03nygrp8ovsx392x1jq5b1d6n.jpg
2022-11-22,American Standard,4142016,Cadet,Commercial,Tank,,,,1.6,Cadet 1.6 Tank,List Price,0.5,414.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Toilets-Commercial/Pressure-Assist-16-gpf-60-Lpf-Left-Hand-Trip-Lever-EverClean-Tank/WHITE-4142016020,https://do5nkkzntcenb.cloudfront.net/ASUS/Commercial/Commercial Toilets/Toilets Commercial/4142016/x74xk6iqr59k28nqb5ee1zcxu9e7hb6j.jpg
2022-11-22,American Standard,3043001,Madera,Commercial,Bowl,12.0,ADA,Elongated,"1,1/1,6",Madera ADA EL Bowl,List Price,0.5,261.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Toilets-Commercial/Madera-11---16-gpf-42---60-Lpf-Chair-Height-Top-Spud-Elongated-Bowl/WHITE-3043001020,https://do5nkkzntcenb.cloudfront.net/ASUS/Commercial/Commercial Toilets/Toilets Commercial/3043001/u212vqifh7pabzuh7ldokr8yr95sum2p.jpg
2022-11-22,American Standard,4192A004,Reliant,Alto,Tank,,,,1.6,Reliant 1.6 Tank,List Price,0.5,97.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Toilet-Tanks/Colony-16-gpf-60-Lpf-12-Inch-Rough-Tank/WHITE-4192A004020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Toilets/Toilet Tanks/4192A004/cqstubndt6v7sa23pzwbj9m4d15zresp.jpg
2022-11-22,American Standard,4019.001N.020,Cadet 3,Premium,Tank,,,,1.6,Cadet 3 1.6 Tank,List Price,0.5,202.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Toilet-Tanks/Cadet-3-10-in-Rough-In-16-gpf-Toilet-Tank/WHITE-4019001N020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Toilets/Toilet Tanks/4019001N/wt17vfcz8u8vxe2pnj2lc54sert1x769.jpg
2022-11-22,American Standard,0476228,,Lavs,,,,,,"Reliant Oval Drop-In 4""",List Price,0.5,98.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Countertop-Bathroom-Sinks/Reliant速-Oval-Drop-In-Bathroom-Sink%2C-4-in.-Centerset-Holes/WHITE-0476228020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Bathroom Sinks/Countertop Bathroom Sinks/0476228/4yaw35rd6uulxnzaardzflphmh85ybzm.jpg
2022-11-22,American Standard,0236004,,Lavs,,,,,,"Cadet Pedestal Lav 4""",List Price,0.5,215.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Pedestal-Bathroom-Sinks/Cadet-4-in-Centerset-Pedestal-Sink-Top/WHITE-0236004020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Bathroom Sinks/Pedestal Bathroom Sinks/0236004/b41c9qmjxqbkize76onpefnenq231dcw.jpg
2022-11-22,American Standard,0467204,,Lavs,,,,,,"Reliant Ped Lav  4"" ",List Price,0.5,124.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Pedestal-Bathroom-Sinks/Reliant速-22-in.-Pedestal-Sink-Top-Only%2C-4-in.-Centerset-Holes/WHITE-0467204020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Bathroom Sinks/Pedestal Bathroom Sinks/0467204/e819lt03a2p6vcbkb9aucimjrupzhz90.jpg
2022-11-22,American Standard,0483000,,Lavs,,,,,,Estate Rectangular Undercounter Lav,List Price,0.5,264.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Undermount-Bathroom-Sinks/Estate-Rectangular-Under-Counter-Sink/WHITE-0483000020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Bathroom Sinks/Undermount Bathrooms Sinks/0483000/mth1pn8th3gvy3lc6rxm16aw9z5knilc.jpg
2022-11-22,American Standard,4142100,Ultra Flush,Commercial,Tank,,,,,Ultra Flush Tank,List Price,0.5,414.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Toilets-Commercial/Pressure-Assist-11-gpf-42-Lpf-Left-Hand-Trip-Lever-EverClean-Tank/WHITE-4142100020,https://do5nkkzntcenb.cloudfront.net/ASUS/Commercial/Commercial Toilets/Toilets Commercial/4142100/7y6fxtpx513p2b48fzt3wvq448n6hkm2.jpg
2022-11-22,American Standard,270CA001,VorMax,Premium,Combo,12.0,ADA,Elongated,1.28,"VorMax 12"" ADA EL Combo ",List Price,0.5,335.00,,USD,americanstandard-us.com,No,https://www.americanstandard-us.com/Two-Piece-Toilets/Cadet-3-Elongated-16-gpf-Toilet/WHITE-270CA001020,https://do5nkkzntcenb.cloudfront.net/ASUS/Bathroom/Toilets/Two-Piece Toilets/270CA001/e2tgz8b4vosw9whq3b3wd7lfr8ep1wp3.jpg
